ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
7290,F,Ship,5,3,202,2,low,F,6,5716,0
7291,D,Ship,3,4,246,3,high,F,1,4273,1
7292,F,Ship,4,4,194,4,low,F,10,5024,0
7293,A,Ship,3,2,221,2,medium,M,10,4715,1
7294,B,Ship,4,4,231,5,low,F,6,5482,0
7295,C,Ship,5,5,254,5,low,F,2,4426,0
7296,F,Ship,4,3,252,2,low,M,6,5266,1
7297,D,Ship,3,5,196,3,high,F,4,4569,0
7298,F,Ship,5,5,104,4,high,F,9,5652,0
7299,A,Ship,5,5,156,4,low,F,5,5987,1
7300,B,Ship,5,4,250,4,low,M,2,4183,0
7301,C,Ship,3,4,267,2,low,M,9,5940,0
7302,F,Ship,3,2,197,4,medium,M,1,5210,1
7303,D,Ship,3,4,227,4,low,F,9,5465,0
7304,F,Ship,5,1,248,3,low,F,2,4075,0
7305,A,Ship,3,3,274,3,medium,M,3,5157,0
7306,B,Ship,6,1,232,6,low,M,4,5877,0
7307,C,Ship,3,2,181,3,low,M,4,5966,1
7308,F,Ship,2,5,101,3,low,M,10,4353,0
7309,D,Ship,4,4,161,2,medium,F,8,4348,1
7310,F,Ship,4,2,268,2,medium,F,8,4219,0
7311,A,Ship,4,4,218,4,medium,F,10,4967,0
7312,B,Ship,3,2,192,3,low,M,1,4308,1
7313,C,Ship,2,3,197,2,medium,F,2,4277,0
7314,F,Ship,4,4,253,2,medium,F,5,5624,0
7315,D,Ship,3,1,183,4,low,M,5,5326,0
7316,F,Ship,3,5,177,4,high,M,9,5311,0
7317,A,Ship,5,1,241,3,low,F,7,5134,1
7318,B,Ship,3,5,180,4,low,F,9,5105,1
7319,C,Ship,5,2,158,3,medium,M,2,5221,0
7320,F,Ship,4,1,209,3,low,F,7,4808,1
7321,D,Ship,5,4,273,6,medium,F,7,4058,1
7322,F,Ship,6,2,226,4,high,F,7,5600,0
7323,A,Ship,4,3,178,3,medium,M,6,4576,0
7324,B,Ship,5,1,151,6,medium,M,2,4529,0
7325,C,Ship,3,1,212,2,medium,M,7,5022,0
7326,F,Ship,3,2,239,4,medium,F,10,4410,0
7327,D,Ship,5,3,257,5,medium,M,5,4183,0
7328,F,Ship,3,3,165,2,low,M,8,5813,0
7329,A,Ship,4,3,183,2,medium,F,8,5690,1
7330,B,Ship,4,5,135,3,low,M,1,5013,0
7331,C,Ship,4,1,200,3,low,M,5,4686,0
7332,F,Ship,4,2,162,4,medium,M,7,5294,0
7333,D,Ship,3,3,218,3,medium,M,6,5288,1
7334,F,Ship,3,4,158,2,medium,M,7,4744,0
7335,A,Ship,4,2,213,3,medium,M,8,5214,1
7336,B,Ship,3,1,215,2,medium,F,9,4940,0
7337,C,Ship,3,3,268,2,high,F,5,5195,0
7338,F,Ship,3,1,207,4,low,M,9,4252,0
7339,D,Ship,2,5,270,6,medium,F,1,5675,0
7340,F,Ship,5,2,245,2,low,M,6,5366,1
7341,A,Ship,4,2,154,2,medium,F,6,4705,1
7342,B,Ship,3,1,155,3,medium,F,2,5446,0
7343,C,Ship,4,4,238,3,low,F,7,4709,0
7344,F,Ship,3,2,151,2,medium,M,1,5179,0
7345,D,Ship,3,4,185,2,low,M,4,5926,0
7346,F,Ship,4,3,171,3,medium,F,8,4826,0
7347,A,Ship,3,2,206,2,low,F,7,4185,1
7348,B,Ship,3,3,232,2,low,M,5,4255,1
7349,C,Ship,4,2,187,2,medium,F,7,5524,1
7350,F,Ship,4,4,209,3,medium,M,8,5884,1
7351,D,Ship,4,2,262,3,low,M,2,4015,0
7352,F,Ship,3,2,154,3,low,F,6,5540,1
7353,A,Ship,5,1,163,3,medium,F,1,5194,0
7354,B,Ship,4,1,257,2,low,M,7,4869,0
7355,C,Ship,3,5,265,4,low,F,8,5087,1
7356,F,Ship,3,2,220,3,low,F,7,5503,0
7357,D,Ship,3,1,201,3,low,F,6,4953,0
7358,F,Ship,2,4,268,4,low,M,5,4400,1
7359,A,Ship,4,1,139,3,medium,M,7,4550,0
7360,B,Ship,3,5,241,4,low,F,3,5051,0
7361,C,Ship,4,4,145,3,high,M,2,5665,0
7362,F,Ship,4,3,157,3,medium,M,9,4990,0
7363,D,Ship,4,3,203,2,medium,F,7,4185,0
7364,F,Ship,4,4,163,3,medium,M,7,4463,0
7365,A,Ship,4,1,263,2,low,F,5,4010,1
7366,B,Ship,5,5,258,4,high,F,5,4562,0
7367,C,Ship,5,3,251,3,medium,F,8,4228,1
7368,F,Ship,3,4,140,6,low,M,9,4558,0
7369,D,Ship,4,1,179,4,medium,F,2,4071,1
7370,F,Ship,5,4,211,2,medium,F,7,4734,0
7371,A,Ship,3,1,271,2,medium,F,7,4569,0
7372,B,Road,4,4,181,3,medium,M,1,5444,0
7373,C,Road,2,1,130,4,medium,F,10,4726,0
7374,F,Road,5,4,264,3,high,M,9,5841,1
7375,D,Road,4,2,221,3,low,F,7,4856,0
7376,F,Road,3,1,194,2,medium,F,1,5931,0
7377,A,Road,3,1,201,2,medium,F,4,4857,1
7378,B,Road,3,5,166,2,medium,M,6,4523,1
7379,C,Road,5,4,254,2,low,M,9,5658,1
7380,F,Road,4,3,144,3,low,F,7,5496,0
7381,D,Road,5,2,171,2,low,M,6,4236,0
7382,F,Road,6,4,240,3,low,F,9,4986,1
7383,A,Road,6,3,232,5,high,M,10,4576,1
7384,B,Road,5,4,145,6,medium,M,6,4403,0
7385,C,Road,3,3,275,4,medium,M,2,4086,1
7386,F,Road,3,1,146,10,low,F,5,4032,1
7387,D,Road,5,5,207,2,high,M,8,5066,1
7388,F,Road,4,1,157,7,low,F,7,4385,0
7389,A,Road,4,2,146,8,low,M,7,5245,1
7390,B,Road,4,1,139,8,medium,M,6,5667,1
7391,C,Road,3,5,223,7,high,M,8,4178,1
7392,F,Road,5,2,224,2,medium,F,10,5674,0
7393,D,Road,5,3,174,3,medium,F,6,5064,1
7394,F,Flight,4,5,152,7,low,M,9,4224,0
7395,A,Flight,4,2,223,5,medium,F,3,4480,0
7396,B,Flight,5,2,223,5,low,F,5,1010,1
7397,C,Flight,4,2,239,5,low,F,10,1429,0
7398,F,Flight,4,2,246,6,low,M,5,1622,0
7399,D,Flight,7,3,295,4,low,F,9,1235,0
7400,F,Flight,6,5,305,4,low,F,7,1099,1
7401,A,Flight,3,4,177,4,medium,M,5,1854,0
7402,B,Flight,5,4,257,5,low,F,1,1778,1
7403,C,Flight,6,3,306,4,low,F,5,1490,1
7404,F,Flight,4,3,226,6,medium,M,10,1174,0
7405,D,Flight,4,1,228,5,low,F,6,1727,1
7406,F,Flight,5,3,225,5,low,F,6,1082,0
7407,A,Flight,7,5,289,4,low,M,10,1385,0
7408,B,Flight,5,1,261,5,low,F,10,1713,0
7409,C,Flight,5,2,255,5,medium,M,4,1634,0
7410,F,Flight,5,4,266,5,medium,M,8,1592,1
7411,D,Flight,6,4,290,4,low,F,3,1544,1
7412,F,Flight,4,3,235,5,low,F,4,1839,1
7413,A,Flight,6,5,250,4,low,M,8,1689,0
7414,B,Flight,5,4,245,5,low,F,5,1293,1
7415,C,Flight,6,3,286,4,medium,F,7,1132,1
7416,F,Ship,5,4,271,4,low,F,5,1184,1
7417,D,Ship,4,1,242,6,low,M,4,1791,1
7418,F,Ship,7,5,282,5,low,M,7,1260,1
7419,A,Ship,4,4,254,5,low,M,9,1654,1
7420,B,Ship,5,5,242,5,medium,M,3,1444,1
7421,C,Ship,5,4,263,4,low,F,10,1995,0
7422,F,Ship,7,5,278,4,low,M,1,1210,0
7423,D,Ship,6,1,255,4,low,M,9,1575,0
7424,F,Ship,4,2,184,3,low,M,3,1705,1
7425,A,Ship,6,2,257,4,medium,M,2,1012,0
7426,B,Ship,3,2,214,2,medium,M,7,1693,0
7427,C,Ship,2,3,130,4,medium,M,10,4363,0
7428,F,Ship,5,5,264,3,high,F,3,5835,1
7429,D,Ship,4,2,221,3,low,M,10,4126,0
7430,F,Ship,3,5,194,2,medium,F,7,4809,0
7431,A,Ship,3,5,201,2,medium,M,2,4440,0
7432,B,Ship,3,2,166,2,medium,M,6,4765,0
7433,C,Ship,5,2,254,2,low,F,5,4985,1
7434,F,Ship,4,4,144,3,low,F,7,5351,1
7435,D,Ship,5,1,171,2,low,M,9,5252,0
7436,F,Ship,6,5,240,3,low,M,4,5219,1
7437,A,Ship,6,1,232,5,high,M,10,4345,0
7438,B,Ship,5,2,145,6,medium,M,9,4243,0
7439,C,Ship,3,5,275,4,medium,M,10,5066,0
7440,F,Ship,3,5,146,10,low,M,9,4128,0
7441,D,Ship,5,1,207,2,high,M,3,4083,0
7442,F,Ship,4,3,157,7,low,F,3,4878,1
7443,A,Ship,4,1,146,8,low,M,7,4576,0
7444,B,Ship,4,2,139,8,medium,F,2,5012,1
7445,C,Ship,3,1,223,7,high,M,5,4439,1
7446,F,Ship,5,3,224,2,medium,M,1,5603,0
7447,D,Ship,5,2,174,3,medium,F,10,4902,1
7448,F,Ship,4,1,152,7,low,F,5,5325,1
7449,A,Ship,4,5,223,5,medium,M,4,4704,0
7450,B,Ship,5,2,223,5,low,M,2,1232,1
7451,C,Ship,4,4,239,5,low,M,6,1986,1
7452,F,Ship,4,1,246,6,low,M,4,1489,0
7453,D,Ship,7,4,295,4,low,F,10,1217,1
7454,F,Ship,6,5,305,4,low,F,6,1787,1
7455,A,Ship,3,3,177,4,medium,F,4,1560,1
7456,B,Ship,5,3,257,5,low,F,8,1409,0
7457,C,Ship,6,4,306,4,low,F,5,1703,1
7458,F,Ship,4,5,226,6,medium,F,10,1348,1
7459,D,Ship,4,4,228,5,low,M,6,1853,1
7460,F,Ship,5,5,225,5,low,F,9,1646,1
7461,A,Ship,7,2,289,4,low,M,5,1918,1
7462,B,Ship,5,1,261,5,low,M,5,1837,1
7463,C,Ship,5,1,255,5,medium,M,9,1156,1
7464,F,Ship,5,5,266,5,medium,M,7,1440,0
7465,D,Ship,6,5,290,4,low,M,6,1929,0
7466,F,Ship,4,1,235,5,low,M,9,1821,1
7467,A,Ship,6,4,250,4,low,M,2,1969,1
7468,B,Ship,5,1,245,5,low,F,5,1996,1
7469,C,Ship,6,1,286,4,medium,M,1,1636,0
7470,F,Ship,5,5,271,4,low,M,8,1132,1
7471,D,Ship,4,1,242,6,low,M,8,1419,1
7472,F,Ship,7,2,282,5,low,M,6,1744,1
7473,A,Ship,4,4,254,5,low,M,2,1573,1
7474,B,Ship,5,4,242,5,medium,M,1,1824,1
7475,C,Ship,5,4,263,4,low,F,2,1625,0
7476,F,Ship,5,3,246,5,medium,M,4,1257,1
7477,D,Ship,7,3,251,5,low,F,8,1616,1
7478,F,Ship,5,2,262,5,low,M,4,1509,1
7479,A,Ship,5,5,245,5,low,F,1,1924,1
7480,B,Ship,4,5,273,5,medium,F,7,1409,0
7481,C,Ship,7,2,272,4,medium,M,9,1188,1
7482,F,Ship,5,5,269,5,low,M,4,1454,0
7483,D,Ship,4,2,263,5,low,F,5,1874,0
7484,F,Ship,6,4,284,4,low,M,7,1584,0
7485,A,Ship,5,2,232,5,medium,F,10,1916,0
7486,B,Ship,6,2,219,5,low,F,9,1071,0
7487,C,Ship,4,2,206,4,medium,F,5,1679,0
7488,F,Ship,5,1,242,5,medium,M,8,1382,1
7489,D,Ship,5,5,250,4,medium,F,8,1247,1
7490,F,Ship,7,3,267,4,medium,M,8,1892,1
7491,A,Ship,6,4,269,4,medium,F,1,1872,0
7492,B,Ship,4,2,248,6,low,M,1,1415,1
7493,C,Ship,3,3,154,4,medium,F,7,1915,0
7494,F,Ship,3,3,239,3,low,F,4,1399,0
7495,D,Ship,4,5,269,5,low,F,3,1118,0
7496,F,Ship,4,1,239,5,low,F,8,1048,0
7497,A,Ship,5,5,237,5,low,F,1,1526,0
7498,B,Ship,5,4,231,6,medium,F,3,1075,0
7499,C,Ship,5,5,249,5,medium,M,5,1662,1
7500,F,Ship,5,5,262,6,low,F,5,1418,1
7501,D,Ship,7,2,300,4,medium,F,10,1179,0
7502,F,Ship,7,1,265,4,medium,F,3,1357,1
7503,A,Ship,5,1,270,5,high,F,6,1836,1
7504,B,Ship,4,2,265,5,low,M,8,1555,0
7505,C,Ship,6,2,263,4,low,F,1,1258,1
7506,F,Ship,7,3,305,4,low,F,3,1872,0
7507,D,Ship,7,5,253,4,low,F,6,1344,1
7508,F,Ship,5,2,248,5,medium,F,9,1973,0
7509,A,Road,6,4,290,4,low,M,3,1710,0
7510,B,Road,5,4,239,5,low,F,10,1042,1
7511,C,Road,7,1,282,4,low,F,2,1566,0
7512,F,Road,7,5,275,4,low,F,3,1107,0
7513,D,Road,5,2,268,5,medium,F,5,1876,1
7514,F,Road,6,1,253,4,low,M,10,1962,0
7515,A,Road,6,2,294,4,medium,M,10,1148,0
7516,B,Road,5,5,240,5,medium,M,7,1255,0
7517,C,Road,5,4,228,5,low,M,5,1844,0
7518,F,Road,3,1,179,2,low,M,3,5159,1
7519,D,Road,6,2,260,3,low,M,2,4071,0
7520,F,Road,4,4,155,3,low,F,2,4094,1
7521,A,Road,3,5,204,2,low,M,1,4133,0
7522,B,Road,2,2,247,3,medium,F,9,4284,1
7523,C,Road,4,3,213,3,medium,M,7,5947,0
7524,F,Road,4,1,252,3,low,M,4,5119,1
7525,D,Road,4,3,165,2,medium,M,10,4351,0
7526,F,Road,4,3,174,3,low,F,3,4846,1
7527,A,Road,3,3,157,3,low,F,6,5187,0
7528,B,Road,4,2,177,3,low,F,4,4550,0
7529,C,Road,3,3,140,2,low,F,3,5713,0
7530,F,Road,5,2,204,5,low,M,3,5723,1
7531,D,Flight,3,4,174,3,low,F,10,4998,1
7532,F,Flight,4,4,148,2,low,M,4,5437,0
7533,A,Flight,3,1,166,5,low,F,8,4759,1
7534,B,Flight,5,2,232,3,low,M,5,5607,1
7535,C,Flight,4,2,191,4,low,M,7,5507,1
7536,F,Flight,4,2,270,3,medium,F,4,5566,0
7537,D,Flight,2,5,263,4,medium,F,4,4042,1
7538,F,Flight,3,1,214,2,low,F,3,5595,1
7539,A,Flight,3,1,153,3,low,M,9,4404,0
7540,B,Flight,6,3,218,3,low,M,6,4594,0
7541,C,Flight,5,5,201,3,medium,F,10,5121,1
7542,F,Flight,4,4,265,3,low,M,9,5508,0
7543,D,Flight,6,3,226,3,high,F,4,4604,1
7544,F,Flight,4,4,155,3,medium,M,6,5033,1
7545,A,Flight,5,2,146,3,low,F,7,4524,1
7546,B,Flight,3,1,177,3,low,F,9,4890,1
7547,C,Flight,5,5,171,3,medium,F,6,4209,1
7548,F,Flight,4,2,149,2,low,M,2,4026,1
7549,D,Flight,5,2,268,3,medium,M,8,5385,1
7550,F,Flight,3,2,150,3,high,M,2,5502,0
7551,A,Flight,3,3,217,2,high,F,9,5554,1
7552,B,Flight,4,1,205,2,low,M,10,4086,0
7553,C,Ship,4,2,220,2,low,F,6,5543,0
7554,F,Ship,3,3,168,2,low,F,10,4583,1
7555,D,Ship,5,5,203,5,medium,M,1,5356,1
7556,F,Ship,3,4,235,2,medium,M,7,4013,1
7557,A,Ship,3,3,261,3,medium,M,4,5482,1
7558,B,Ship,4,3,266,3,high,F,2,5298,0
7559,C,Ship,5,4,154,5,low,M,6,5659,1
7560,F,Ship,4,1,268,4,medium,F,2,4543,0
7561,D,Ship,2,2,169,3,medium,F,4,5485,1
7562,F,Ship,3,3,165,4,medium,M,2,4176,1
7563,A,Ship,4,4,171,2,low,M,7,5190,1
7564,B,Ship,4,5,275,5,low,F,6,4450,0
7565,C,Ship,3,4,184,3,low,M,7,5438,0
7566,F,Ship,4,2,236,3,low,M,4,4800,0
7567,D,Ship,4,3,261,4,medium,M,9,5116,1
7568,F,Ship,3,1,251,2,low,F,7,5368,1
7569,A,Ship,3,3,202,4,low,F,3,4003,1
7570,B,Ship,4,1,155,3,low,F,4,4397,0
7571,C,Ship,3,3,157,4,low,F,2,5715,1
7572,F,Ship,4,1,191,3,low,M,2,5189,0
7573,D,Ship,3,5,194,3,low,M,6,4295,1
7574,F,Ship,3,5,154,2,medium,M,6,4675,1
7575,A,Ship,3,5,270,3,medium,M,5,4843,1
7576,B,Ship,4,4,259,3,low,F,8,4223,1
7577,C,Ship,5,3,156,4,low,F,9,4098,0
7578,F,Ship,5,3,236,4,medium,M,7,4308,0
7579,D,Ship,4,4,188,3,low,M,7,5720,0
7580,F,Ship,6,3,183,4,medium,M,3,4842,0
7581,A,Ship,4,4,149,3,medium,M,6,5508,0
7582,B,Ship,5,4,199,4,low,F,7,5740,0
7583,C,Ship,4,4,245,2,low,F,2,4297,1
7584,F,Ship,3,2,158,3,medium,F,1,5438,0
7585,D,Ship,3,5,146,5,low,F,3,5489,0
7586,F,Ship,5,5,260,3,medium,M,8,4586,1
7587,A,Ship,5,1,238,6,medium,M,10,5508,0
7588,B,Ship,4,1,201,6,medium,F,8,5529,0
7589,C,Ship,3,1,220,4,medium,M,7,5894,1
7590,F,Ship,4,4,172,4,medium,M,7,4834,0
7591,D,Ship,4,2,274,3,medium,F,7,4477,1
7592,F,Ship,5,2,169,3,medium,M,3,5692,0
7593,A,Ship,5,1,256,2,medium,F,1,5352,1
7594,B,Ship,5,3,150,4,medium,F,1,5211,0
7595,C,Ship,3,3,176,3,low,F,10,5284,1
7596,F,Ship,5,2,269,2,medium,F,9,5672,0
7597,D,Ship,3,5,224,2,low,F,10,4380,1
7598,F,Ship,5,4,201,3,low,F,5,5137,0
7599,A,Ship,3,1,179,2,medium,M,2,4085,0
7600,B,Ship,5,3,245,4,low,M,1,5743,0
7601,C,Ship,4,3,139,2,high,F,2,4041,1
7602,F,Ship,3,3,261,4,medium,F,4,4307,1
7603,D,Ship,4,3,147,3,medium,M,1,5454,0
7604,F,Ship,4,1,240,4,medium,M,7,4818,1
7605,A,Ship,3,5,224,3,low,M,6,5115,0
7606,B,Ship,3,1,236,3,low,M,2,4298,0
7607,C,Ship,5,2,173,3,low,M,8,4797,1
7608,F,Ship,3,3,201,2,low,F,2,5361,0
7609,D,Ship,5,5,140,3,high,F,7,4799,1
7610,F,Ship,3,3,203,3,high,M,3,5440,0
7611,A,Ship,3,4,173,3,low,F,8,5979,0
7612,B,Ship,3,2,198,4,medium,F,4,4564,0
7613,C,Ship,4,2,273,3,low,M,2,5712,0
7614,F,Ship,5,4,131,6,low,M,8,4005,1
7615,D,Ship,5,3,178,4,medium,M,10,5382,1
7616,F,Ship,4,4,175,3,low,M,8,5944,1
7617,A,Ship,4,5,145,2,low,F,2,4686,1
7618,B,Ship,5,1,256,4,medium,F,5,4970,1
7619,C,Ship,4,2,175,6,low,F,5,5445,1
7620,F,Ship,4,4,170,4,low,M,5,4574,0
7621,D,Ship,2,3,206,4,medium,F,2,5443,0
7622,F,Ship,3,4,145,4,high,M,4,5801,0
7623,A,Ship,3,5,266,2,high,F,3,5195,0
7624,B,Ship,5,5,183,3,medium,F,3,4071,1
7625,C,Ship,5,1,210,2,low,M,2,4079,1
7626,F,Ship,5,1,134,2,low,F,7,5610,0
7627,D,Ship,3,3,223,3,low,M,10,5243,1
7628,F,Ship,5,5,223,3,low,M,5,4373,1
7629,A,Ship,4,4,255,3,high,F,3,5616,0
7630,B,Ship,4,1,270,3,low,F,6,5212,0
7631,C,Ship,4,2,260,2,low,M,7,5684,0
7632,F,Ship,5,4,225,2,low,M,8,4725,0
7633,D,Ship,4,1,237,4,low,F,4,4697,1
7634,F,Ship,4,5,111,4,medium,M,7,5988,1
7635,A,Ship,5,1,230,4,medium,M,4,5363,0
7636,B,Ship,2,4,193,2,low,F,5,5706,0
7637,C,Ship,3,4,162,4,medium,M,10,4235,0
7638,F,Ship,3,4,195,4,low,M,3,4743,0
7639,D,Ship,5,2,123,5,low,F,4,5284,0
7640,F,Ship,4,3,248,2,medium,F,10,5211,0
7641,A,Ship,4,1,151,3,low,F,4,5610,1
7642,B,Ship,4,3,252,4,low,M,2,5226,0
7643,C,Ship,5,2,134,4,low,M,5,5090,0
7644,F,Ship,3,2,189,2,medium,F,4,4160,0
7645,D,Ship,3,4,159,2,medium,F,6,4990,1
7646,F,Road,4,2,173,3,medium,M,6,4963,0
7647,A,Road,5,5,254,2,medium,M,6,4934,0
7648,B,Road,5,3,241,2,medium,M,5,5666,0
7649,C,Road,4,4,262,2,medium,M,1,4357,0
7650,F,Road,5,1,265,4,low,F,2,5416,1
7651,D,Road,6,4,201,4,low,F,8,5355,1
7652,F,Road,5,2,233,4,medium,F,9,5539,0
7653,A,Road,3,1,164,10,medium,F,6,5603,0
7654,B,Road,4,5,180,2,medium,M,1,5622,0
7655,C,Road,3,4,199,3,medium,M,1,4490,1
7656,F,Road,4,3,140,8,medium,M,8,4065,1
7657,D,Road,4,5,140,2,medium,F,5,4347,1
7658,F,Road,5,2,146,7,low,F,9,5631,0
7659,A,Road,5,3,216,10,medium,M,4,4409,1
7660,B,Road,3,5,159,2,high,F,9,4099,1
7661,C,Road,4,4,222,3,medium,M,4,5857,0
7662,F,Road,4,3,240,8,medium,M,8,4319,1
7663,D,Road,3,3,189,3,high,M,9,4278,1
7664,F,Road,3,1,252,2,low,M,9,5050,0
7665,A,Road,2,2,149,4,medium,M,7,4598,0
7666,B,Road,5,4,199,5,medium,F,6,4417,1
7667,C,Road,4,5,244,3,low,F,7,4172,0
7668,F,Flight,7,2,272,4,medium,F,8,1816,0
7669,D,Flight,5,3,269,5,low,F,3,1667,1
7670,F,Flight,4,1,263,5,low,F,8,1257,0
7671,A,Flight,6,4,284,4,low,F,9,1436,0
7672,B,Flight,5,5,232,5,medium,F,6,1246,0
7673,C,Flight,6,5,219,5,low,F,2,1475,1
7674,F,Flight,4,5,206,4,medium,F,1,1593,0
7675,D,Flight,5,4,242,5,medium,F,2,1717,1
7676,F,Flight,5,1,250,4,medium,M,4,1438,0
7677,A,Flight,7,4,267,4,medium,F,9,1378,1
7678,B,Flight,6,3,269,4,medium,F,3,1022,0
7679,C,Flight,3,2,189,2,medium,F,3,4617,0
7680,F,Flight,3,1,159,2,medium,F,3,5691,0
7681,D,Flight,4,3,173,3,medium,F,2,4351,0
7682,F,Flight,5,3,254,2,medium,F,5,4764,1
7683,A,Flight,5,2,241,2,medium,M,9,4965,0
7684,B,Flight,4,3,262,2,medium,F,3,4064,1
7685,C,Flight,5,2,265,4,low,F,7,4883,0
7686,F,Flight,6,1,201,4,low,F,5,4592,1
7687,D,Flight,5,4,233,4,medium,M,1,4255,1
7688,F,Flight,3,4,164,10,medium,F,10,4134,0
7689,A,Flight,4,2,180,2,medium,F,10,5666,1
7690,B,Ship,3,2,199,3,medium,F,8,4164,1
7691,C,Ship,4,4,140,8,medium,F,2,5481,0
7692,F,Ship,4,3,140,2,medium,F,2,5042,0
7693,D,Ship,5,2,146,7,low,M,7,5204,0
7694,F,Ship,5,1,216,10,medium,F,2,5672,0
7695,A,Ship,3,5,159,2,high,F,6,4295,0
7696,B,Ship,4,4,222,3,medium,F,6,4199,1
7697,C,Ship,4,1,240,8,medium,M,1,4638,0
7698,F,Ship,3,2,189,3,high,M,1,4997,1
7699,D,Ship,3,4,252,2,low,M,6,4630,1
7700,F,Ship,2,1,149,4,medium,F,7,5434,0
7701,A,Ship,5,4,199,5,medium,M,6,5210,1
7702,B,Ship,4,3,244,3,low,M,7,4761,0
7703,C,Ship,7,3,272,4,medium,M,2,1754,0
7704,F,Ship,5,5,269,5,low,F,6,1630,0
7705,D,Ship,4,1,263,5,low,M,1,1605,1
7706,F,Ship,6,4,284,4,low,F,9,1845,1
7707,A,Ship,5,3,232,5,medium,F,2,1057,1
7708,B,Ship,6,3,219,5,low,M,9,1483,1
7709,C,Ship,4,4,206,4,medium,F,9,1074,1
7710,F,Ship,5,3,242,5,medium,F,5,1820,0
7711,D,Ship,5,3,250,4,medium,F,4,1111,1
7712,F,Ship,7,5,267,4,medium,F,10,1067,0
7713,A,Ship,6,2,269,4,medium,F,3,1665,0
7714,B,Ship,5,2,240,5,medium,M,3,1079,0
7715,C,Ship,5,2,228,5,low,M,6,1726,1
7716,F,Ship,5,5,262,5,low,M,6,1887,1
7717,D,Ship,6,2,306,4,low,F,1,1815,1
7718,F,Ship,6,5,276,4,low,M,3,1136,0
7719,A,Ship,3,3,183,5,low,F,3,1504,0
7720,B,Ship,5,1,239,5,low,M,1,1239,0
7721,C,Ship,7,1,285,4,low,M,2,1516,0
7722,F,Ship,5,1,229,6,low,M,9,1883,1
7723,D,Ship,7,4,308,5,medium,F,7,1563,1
7724,F,Ship,6,1,293,4,low,F,10,1534,1
7725,A,Ship,6,1,247,4,low,F,4,1623,1
7726,B,Ship,6,2,260,5,low,F,9,1667,1
7727,C,Ship,7,3,308,4,medium,M,6,1113,0
7728,F,Ship,5,2,274,6,medium,M,2,1748,1
7729,D,Ship,5,2,236,6,low,F,6,1552,0
7730,F,Ship,7,4,291,4,medium,M,1,1817,1
7731,A,Ship,4,5,247,5,low,M,9,1499,0
7732,B,Ship,5,4,217,5,high,F,3,1007,1
7733,C,Ship,6,2,246,4,low,M,4,1555,0
7734,F,Ship,6,3,301,4,low,F,2,1083,0
7735,D,Ship,5,4,259,5,low,F,4,1991,1
7736,F,Ship,4,2,275,5,low,F,6,1438,0
7737,A,Ship,6,2,309,4,medium,F,8,1289,1
7738,B,Ship,5,2,232,6,medium,F,3,1540,0
7739,C,Ship,6,1,244,4,low,F,7,1007,0
7740,F,Ship,4,4,267,5,medium,F,9,1716,1
7741,D,Ship,6,1,254,4,low,F,2,1071,0
7742,F,Ship,5,2,270,4,medium,M,8,1631,1
7743,A,Ship,6,2,301,4,medium,M,10,1747,1
7744,B,Ship,4,5,221,5,low,F,5,1608,1
7745,C,Ship,5,3,243,5,low,F,9,1312,1
7746,F,Ship,6,4,264,4,low,M,1,1711,1
7747,D,Ship,4,3,228,5,low,F,9,1044,0
7748,F,Ship,5,1,262,5,low,F,5,1916,1
7749,A,Ship,4,2,270,5,medium,M,9,1167,0
7750,B,Ship,3,1,131,4,low,M,1,1628,0
7751,C,Ship,7,1,257,4,low,M,1,1405,1
7752,F,Ship,4,1,245,5,medium,M,1,1472,0
7753,D,Ship,5,5,272,5,medium,F,5,1868,1
7754,F,Ship,6,1,284,4,low,F,7,1153,0
7755,A,Ship,7,5,285,4,low,M,6,1591,1
7756,B,Ship,6,3,250,4,low,M,9,1618,0
7757,C,Ship,7,3,272,4,medium,M,7,1067,1
7758,F,Ship,4,3,254,5,low,F,3,1248,0
7759,D,Ship,5,4,217,5,low,F,5,1360,1
7760,F,Ship,7,5,253,4,low,M,10,1166,1
7761,A,Ship,5,1,276,5,low,F,6,1793,0
7762,B,Ship,4,1,241,5,low,F,4,1145,0
7763,C,Ship,6,2,259,5,medium,M,1,1357,0
7764,F,Ship,6,4,272,4,medium,F,10,1171,1
7765,D,Ship,6,1,280,4,medium,M,6,1735,1
7766,F,Ship,5,3,257,5,low,M,7,1090,0
7767,A,Ship,6,3,282,4,low,M,9,1417,1
7768,B,Ship,6,4,268,4,medium,M,9,1354,1
7769,C,Ship,5,3,238,5,high,M,10,1841,1
7770,F,Ship,7,4,310,4,low,M,6,1003,1
7771,D,Ship,4,1,187,2,low,M,5,5691,0
7772,F,Ship,3,3,167,4,medium,M,1,5301,0
7773,A,Ship,4,3,197,4,medium,M,9,4429,0
7774,B,Ship,6,1,214,2,low,M,5,4708,0
7775,C,Ship,4,2,174,2,low,F,8,4295,0
7776,F,Ship,4,5,239,3,medium,M,1,5482,1
7777,D,Ship,5,1,249,3,low,F,8,5940,0
7778,F,Ship,5,3,141,3,low,M,2,4124,1
7779,A,Ship,5,2,179,3,medium,M,5,4325,1
7780,B,Ship,3,1,253,3,high,M,8,5030,1
